fecha,modo_persistencia,politica_memoria,tam_dataset,lat_p50_ms,lat_p99_ms,ops_por_seg,rdb_size_bytes,aof_size_bytes,tiempo_reinicio_ms,evicted_keys,errores
2025-05-28T05:21:43.955509,aof_everysec,allkeys_lfu,500k,0.6277561187744141,0.9813308715820312,1485.2257203479517,88,0,10526.379823684692,0,0
2025-05-28T05:24:38.733020,aof_everysec,allkeys_lfu,100k,0.629425048828125,0.9942054748535156,1477.5752809496998,88,0,10592.818021774292,0,0
2025-05-28T05:52:12.962494,aof_everysec,allkeys_lfu,1M,0.6344318389892578,1.0142326354980469,1459.372636193839,88,0,12273.908138275146,0,0
2025-05-28T06:20:16.736619,aof_always,allkeys_random,500k,1.3811588287353516,6.746530532836914,618.2640083383183,88,0,10589.489459991455,0,0
2025-05-28T06:26:38.148491,aof_always,allkeys_random,100k,1.3933181762695312,6.793498992919922,624.1041398074871,88,0,10502.944231033325,0,0
2025-05-28T07:20:58.156775,aof_always,allkeys_random,1M,1.361846923828125,7.161378860473633,566.9838655436621,88,0,10620.326280593872,0,0
2025-05-28T07:51:56.067201,aof_always,allkeys_lru,500k,1.4011859893798828,4.3697357177734375,647.9522387835892,88,0,10567.254543304443,0,0
2025-05-28T07:58:13.292284,aof_always,allkeys_lru,100k,1.3852119445800781,6.552457809448242,626.7241353590751,88,0,10597.83935546875,0,0
2025-05-28T08:59:45.357333,aof_always,allkeys_lru,1M,1.394510269165039,4.647254943847656,649.097675340313,88,0,10689.165353775024,0,0
2025-05-28T09:14:20.598053,aof_always,noeviction,100k,1.3918876647949219,2.191305160522461,673.9113581583276,88,0,10707.704782485962,0,0
2025-05-28T09:54:06.770563,aof_always,allkeys_lfu,500k,1.4195442199707031,5.388021469116211,621.3420735608643,88,0,10632.869720458984,0,0
2025-05-28T10:00:29.933710,aof_always,allkeys_lfu,100k,1.4424324035644531,2.994060516357422,634.923656065036,88,0,10671.732902526855,0,0
2025-05-28T11:03:07.413171,aof_always,allkeys_lfu,1M,1.4138221740722656,4.455804824829102,639.0113966384794,88,0,10699.289798736572,0,0
2025-05-28T11:15:52.919016,mixto,allkeys_random,500k,0.6499290466308594,1.5158653259277344,1371.7451666713928,43646945,0,14307.596206665039,0,0
2025-05-28T11:18:52.070161,mixto,allkeys_random,100k,0.652313232421875,1.0714530944824219,1406.263584053045,22427120,0,12619.619131088257,0,0
2025-05-28T11:43:44.735342,mixto,allkeys_random,1M,0.6461143493652344,1.012563705444336,1374.5678781738277,40848975,0,16809.358835220337,0,0
2025-05-28T11:57:58.451565,mixto,allkeys_lru,500k,0.6396770477294922,1.046895980834961,1440.1314612190795,34076144,0,13329.706907272339,0,0
2025-05-28T12:00:56.079560,mixto,allkeys_lru,100k,0.644683837890625,1.0769367218017578,1433.7279434174507,22600480,0,12623.412370681763,0,0
2025-05-28T12:29:14.078773,mixto,allkeys_lru,1M,0.640869140625,1.06048583984375,1438.1377409867196,22868663,0,12996.821880340576,0,0
2025-05-28T12:35:59.168494,mixto,noeviction,100k,0.6382465362548828,1.0249614715576172,1466.2405283322346,22142761,0,15900.19702911377,0,0
2025-05-28T12:53:54.262044,mixto,allkeys_lfu,500k,0.6451606750488281,1.0335445404052734,1437.5683475246606,33977037,0,13392.98415184021,0,0
2025-05-28T12:56:52.366030,mixto,allkeys_lfu,100k,0.6363391876220703,1.0142326354980469,1453.282384744159,22484138,0,12579.022407531738,0,0
2025-05-28T13:25:04.359386,mixto,allkeys_lfu,1M,0.6382465362548828,1.0199546813964844,1447.1074053330315,22863695,0,12513.704061508179,0,0
